symbols,en,ja
game_name,Game Name,コンピュータゲーム
ui_up,Up,上
ui_down,Down,下
ui_left,Left,左
ui_right,Right,右
ui_accept,Confirm,確認 
ui_cancel,Cancel,キャンセル
in_pause,Pause,休止
in_joystick_up,Joystick 1: Up,ジョイスティック 1: 上
in_joystick_down,Joystick 1: Down,ジョイスティック 1: 下
in_joystick_left,Joystick 1: Left,ジョイスティック 1: 左
in_joystick_right,Joystick 1: Right,ジョイスティック 1: 右
in_joystick_up_2,Joystick 2: Up,ジョイスティック 2: 上
in_joystick_down_2,Joystick 2: Down,ジョイスティック 2: 下
in_joystick_left_2,Joystick 2: Left,ジョイスティック 2: 左
in_joystick_right_2,Joystick 2: Right,ジョイスティック 2: 右
ui_new_game,New Game,新しい
ui_load_game,Load Game,続く
ui_settings,Settings,構成
ui_quit,Quit,出口
ui_tab_accessibility,Accessibility,アクセシビリティ
ui_tab_controls,Controls,コントロール
ui_tab_gameplay,Gameplay,ゲームプレイ
ui_tab_video,Video,ビデオ
ui_tab_audio,Audio,オーディオ
ui_label_language,Language,言語
ui_create_profile,New Profile,プロフィール作成
ui_save_to_profile,Save Changes,変更内容を保存 
ui_revert_changes,Revert Changes,変更を元に戻す
ui_delete_profile,Delete Profile,プロフィールの削除
ui_button_borderless,Borderless,境界のない
ui_button_fullscreen,Fullscreen,全画面表示
ui_label_window_scale,Window Scale,ウィンドウサイズ
ui_label_game_scale,Game Scale,コンテンツのサイズ
ui_label_vol_main,Main,本編
ui_label_vol_music,Music,音楽
ui_label_vol_sfx,SFX,特撮
ui_label_vol_vox,Vox,声
ui_label_font,Font,フォント
ui_label_font_size,Font Size,フォントサイズ 
ui_label_start_muted,Start audio at 0% volume,最初は音声をミュートします
ui_button_edit,Edit,変更 
ui_button_confirm,Confirm,確認 
profile_default,Default,既定
ui_lineedit_profilename,Name...,名前 
ui_label_add_bind,Add Bind,キーバインドを追加 
ui_lineedit_listening,Listening for input...,入力を聞く
ui_button_retry,Retry,リトライ 
